document_id,method,judge,criterion,score,ok,error,prompt_tokens,completion_tokens
785f402aca89fd9c,naive,llama-3.3-70b,clarity,85,True,,574,96
785f402aca89fd9c,naive,llama-3.3-70b,informativeness,68,True,,613,96
785f402aca89fd9c,naive,gemini-2.0-flash,clarity,75,True,,572,65
785f402aca89fd9c,naive,gemini-2.0-flash,informativeness,65,True,,608,63
785f402aca89fd9c,lit_informed,llama-3.3-70b,clarity,90,True,,578,85
785f402aca89fd9c,lit_informed,llama-3.3-70b,informativeness,82,True,,617,87
785f402aca89fd9c,lit_informed,gemini-2.0-flash,clarity,75,True,,574,65
785f402aca89fd9c,lit_informed,gemini-2.0-flash,informativeness,70,True,,610,65
78019e891236dfd9,naive,llama-3.3-70b,clarity,90,True,,568,78
78019e891236dfd9,naive,llama-3.3-70b,informativeness,30,True,,607,99
78019e891236dfd9,naive,gemini-2.0-flash,clarity,85,True,,562,57
78019e891236dfd9,naive,gemini-2.0-flash,informativeness,45,True,,598,94
78019e891236dfd9,lit_informed,llama-3.3-70b,clarity,90,True,,560,74
78019e891236dfd9,lit_informed,llama-3.3-70b,informativeness,30,True,,599,85
78019e891236dfd9,lit_informed,gemini-2.0-flash,clarity,85,True,,555,47
78019e891236dfd9,lit_informed,gemini-2.0-flash,informativeness,30,True,,591,78
2f2796533557850f,naive,llama-3.3-70b,clarity,90,True,,604,86
2f2796533557850f,naive,llama-3.3-70b,informativeness,80,True,,643,79
2f2796533557850f,naive,gemini-2.0-flash,clarity,75,True,,598,46
2f2796533557850f,naive,gemini-2.0-flash,informativeness,55,True,,634,73
2f2796533557850f,lit_informed,llama-3.3-70b,clarity,90,True,,601,84
2f2796533557850f,lit_informed,llama-3.3-70b,informativeness,75,True,,640,103
2f2796533557850f,lit_informed,gemini-2.0-flash,clarity,85,True,,596,49
2f2796533557850f,lit_informed,gemini-2.0-flash,informativeness,65,True,,632,81
05b82240f4d1c794,naive,llama-3.3-70b,clarity,82,True,,593,88
05b82240f4d1c794,naive,llama-3.3-70b,informativeness,61,True,,632,105
05b82240f4d1c794,naive,gemini-2.0-flash,clarity,75,True,,588,54
05b82240f4d1c794,naive,gemini-2.0-flash,informativeness,65,True,,624,65
05b82240f4d1c794,lit_informed,llama-3.3-70b,clarity,90,True,,589,72
05b82240f4d1c794,lit_informed,llama-3.3-70b,informativeness,68,True,,628,108
05b82240f4d1c794,lit_informed,gemini-2.0-flash,clarity,85,True,,587,49
05b82240f4d1c794,lit_informed,gemini-2.0-flash,informativeness,65,True,,623,65
1a8101de41fd831e,naive,llama-3.3-70b,clarity,90,True,,564,86
1a8101de41fd831e,naive,llama-3.3-70b,informativeness,50,True,,603,108
1a8101de41fd831e,naive,gemini-2.0-flash,clarity,75,True,,561,62
1a8101de41fd831e,naive,gemini-2.0-flash,informativeness,55,True,,597,58
