method,judge,paragraph_type,n,orig_clarity,rewrite_clarity,delta_clarity,orig_informativeness,rewrite_informativeness,delta_informativeness
lit_informed,gemini-2.0-flash,ALL,100,77.18,85.19,8.01,56.6,63.05,6.45
lit_informed,gemini-2.0-flash,edited,20,80.8,86.0,5.2,55.0,58.5,3.5
lit_informed,gemini-2.0-flash,model,60,81.38333333333334,85.36666666666666,3.9833333333333334,59.0,64.83333333333333,5.833333333333333
lit_informed,gemini-2.0-flash,writer,20,60.95,83.85,22.9,51.0,62.25,11.25
lit_informed,llama-3.3-70b,ALL,100,84.81818181818181,91.4,6.595959595959596,62.22,69.11,6.89
lit_informed,llama-3.3-70b,edited,20,88.25,92.5,4.25,58.85,65.05,6.2
lit_informed,llama-3.3-70b,model,60,89.9,91.41666666666667,1.5166666666666666,66.38333333333334,70.96666666666667,4.583333333333333
lit_informed,llama-3.3-70b,writer,20,65.15789473684211,90.25,25.105263157894736,53.1,67.6,14.5
naive,gemini-2.0-flash,ALL,100,77.18,82.49,5.31,56.6,59.5,2.9
naive,gemini-2.0-flash,edited,20,80.8,85.5,4.7,55.0,56.25,1.25
naive,gemini-2.0-flash,model,60,81.38333333333334,82.56666666666666,1.1833333333333333,59.0,61.166666666666664,2.1666666666666665
naive,gemini-2.0-flash,writer,20,60.95,79.25,18.3,51.0,57.75,6.75
naive,llama-3.3-70b,ALL,100,84.81818181818181,91.1,6.292929292929293,62.22,63.91,1.69
naive,llama-3.3-70b,edited,20,88.25,91.25,3.0,58.85,60.25,1.4
naive,llama-3.3-70b,model,60,89.9,91.83333333333333,1.9333333333333333,66.38333333333334,66.1,-0.2833333333333333
naive,llama-3.3-70b,writer,20,65.15789473684211,88.75,23.526315789473685,53.1,61.0,7.9
