document_id,method,judge,criterion,score,ok,error,prompt_tokens,completion_tokens
785f402aca89fd9c,naive_tight,llama-3.3-70b,clarity,85,True,,602,88
785f402aca89fd9c,naive_tight,llama-3.3-70b,informativeness,70,True,,641,110
785f402aca89fd9c,naive_tight,gemini-2.0-flash,clarity,75,True,,596,60
785f402aca89fd9c,naive_tight,gemini-2.0-flash,informativeness,65,True,,632,71
785f402aca89fd9c,lit_informed_tight,llama-3.3-70b,clarity,90,True,,615,88
785f402aca89fd9c,lit_informed_tight,llama-3.3-70b,informativeness,78,True,,654,90
785f402aca89fd9c,lit_informed_tight,gemini-2.0-flash,clarity,75,True,,613,52
785f402aca89fd9c,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,649,60
78019e891236dfd9,naive_tight,llama-3.3-70b,clarity,90,True,,587,75
78019e891236dfd9,naive_tight,llama-3.3-70b,informativeness,30,True,,626,103
78019e891236dfd9,naive_tight,gemini-2.0-flash,clarity,85,True,,581,56
78019e891236dfd9,naive_tight,gemini-2.0-flash,informativeness,45,True,,617,78
78019e891236dfd9,lit_informed_tight,llama-3.3-70b,clarity,95,True,,580,69
78019e891236dfd9,lit_informed_tight,llama-3.3-70b,informativeness,40,True,,619,89
78019e891236dfd9,lit_informed_tight,gemini-2.0-flash,clarity,90,True,,573,52
78019e891236dfd9,lit_informed_tight,gemini-2.0-flash,informativeness,55,True,,609,69
2f2796533557850f,naive_tight,llama-3.3-70b,clarity,90,True,,616,89
2f2796533557850f,naive_tight,llama-3.3-70b,informativeness,81,True,,655,98
2f2796533557850f,naive_tight,gemini-2.0-flash,clarity,75,True,,608,67
2f2796533557850f,naive_tight,gemini-2.0-flash,informativeness,65,True,,644,59
2f2796533557850f,lit_informed_tight,llama-3.3-70b,clarity,90,True,,618,83
2f2796533557850f,lit_informed_tight,llama-3.3-70b,informativeness,90,True,,657,114
2f2796533557850f,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,608,61
2f2796533557850f,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,644,68
05b82240f4d1c794,naive_tight,llama-3.3-70b,clarity,90,True,,624,83
05b82240f4d1c794,naive_tight,llama-3.3-70b,informativeness,80,True,,663,87
05b82240f4d1c794,naive_tight,gemini-2.0-flash,clarity,85,True,,621,42
05b82240f4d1c794,naive_tight,gemini-2.0-flash,informativeness,70,True,,657,76
05b82240f4d1c794,lit_informed_tight,llama-3.3-70b,clarity,90,True,,609,78
05b82240f4d1c794,lit_informed_tight,llama-3.3-70b,informativeness,78,True,,648,104
05b82240f4d1c794,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,603,45
05b82240f4d1c794,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,639,61
1a8101de41fd831e,naive_tight,llama-3.3-70b,clarity,90,True,,595,85
1a8101de41fd831e,naive_tight,llama-3.3-70b,informativeness,60,True,,634,108
1a8101de41fd831e,naive_tight,gemini-2.0-flash,clarity,85,True,,591,47
1a8101de41fd831e,naive_tight,gemini-2.0-flash,informativeness,65,True,,627,77
1a8101de41fd831e,lit_informed_tight,llama-3.3-70b,clarity,90,True,,596,73
1a8101de41fd831e,lit_informed_tight,llama-3.3-70b,informativeness,80,True,,635,98
1a8101de41fd831e,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,592,50
1a8101de41fd831e,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,628,70
7ea00af60e5888aa,naive_tight,llama-3.3-70b,clarity,95,True,,647,94
7ea00af60e5888aa,naive_tight,llama-3.3-70b,informativeness,85,True,,686,100
7ea00af60e5888aa,naive_tight,gemini-2.0-flash,clarity,85,True,,645,49
7ea00af60e5888aa,naive_tight,gemini-2.0-flash,informativeness,75,True,,681,77
7ea00af60e5888aa,lit_informed_tight,llama-3.3-70b,clarity,90,True,,637,81
7ea00af60e5888aa,lit_informed_tight,llama-3.3-70b,informativeness,82,True,,676,98
7ea00af60e5888aa,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,635,54
7ea00af60e5888aa,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,671,65
bdccf92dd6935359,naive_tight,llama-3.3-70b,clarity,95,True,,634,82
bdccf92dd6935359,naive_tight,llama-3.3-70b,informativeness,81,True,,673,85
bdccf92dd6935359,naive_tight,gemini-2.0-flash,clarity,85,True,,630,45
bdccf92dd6935359,naive_tight,gemini-2.0-flash,informativeness,65,True,,666,55
bdccf92dd6935359,lit_informed_tight,llama-3.3-70b,clarity,95,True,,634,82
bdccf92dd6935359,lit_informed_tight,llama-3.3-70b,informativeness,90,True,,673,94
bdccf92dd6935359,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,629,45
bdccf92dd6935359,lit_informed_tight,gemini-2.0-flash,informativeness,75,True,,665,64
e37a81dfd95da419,naive_tight,llama-3.3-70b,clarity,90,True,,608,84
e37a81dfd95da419,naive_tight,llama-3.3-70b,informativeness,81,True,,647,97
e37a81dfd95da419,naive_tight,gemini-2.0-flash,clarity,85,True,,604,50
e37a81dfd95da419,naive_tight,gemini-2.0-flash,informativeness,70,True,,640,60
e37a81dfd95da419,lit_informed_tight,llama-3.3-70b,clarity,90,True,,597,82
e37a81dfd95da419,lit_informed_tight,llama-3.3-70b,informativeness,85,True,,636,109
e37a81dfd95da419,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,592,57
e37a81dfd95da419,lit_informed_tight,gemini-2.0-flash,informativeness,75,True,,628,65
d32e792227a65530,naive_tight,llama-3.3-70b,clarity,90,True,,673,89
d32e792227a65530,naive_tight,llama-3.3-70b,informativeness,41,True,,712,112
d32e792227a65530,naive_tight,gemini-2.0-flash,clarity,75,True,,664,51
d32e792227a65530,naive_tight,gemini-2.0-flash,informativeness,55,True,,700,87
d32e792227a65530,lit_informed_tight,llama-3.3-70b,clarity,90,True,,667,85
d32e792227a65530,lit_informed_tight,llama-3.3-70b,informativeness,60,True,,706,123
d32e792227a65530,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,659,50
d32e792227a65530,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,695,68
bedc0a6a0ec03ed0,naive_tight,llama-3.3-70b,clarity,90,True,,581,80
bedc0a6a0ec03ed0,naive_tight,llama-3.3-70b,informativeness,50,True,,620,103
bedc0a6a0ec03ed0,naive_tight,gemini-2.0-flash,clarity,85,True,,576,46
bedc0a6a0ec03ed0,naive_tight,gemini-2.0-flash,informativeness,45,True,,612,67
bedc0a6a0ec03ed0,lit_informed_tight,llama-3.3-70b,clarity,90,True,,583,72
bedc0a6a0ec03ed0,lit_informed_tight,llama-3.3-70b,informativeness,50,True,,622,94
bedc0a6a0ec03ed0,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,578,49
bedc0a6a0ec03ed0,lit_informed_tight,gemini-2.0-flash,informativeness,50,True,,614,59
56e222895cca8876,naive_tight,llama-3.3-70b,clarity,95,True,,635,75
56e222895cca8876,naive_tight,llama-3.3-70b,informativeness,85,True,,674,108
56e222895cca8876,naive_tight,gemini-2.0-flash,clarity,85,True,,631,50
56e222895cca8876,naive_tight,gemini-2.0-flash,informativeness,65,True,,667,56
56e222895cca8876,lit_informed_tight,llama-3.3-70b,clarity,98,True,,639,83
56e222895cca8876,lit_informed_tight,llama-3.3-70b,informativeness,70,True,,678,87
56e222895cca8876,lit_informed_tight,gemini-2.0-flash,clarity,90,True,,633,45
56e222895cca8876,lit_informed_tight,gemini-2.0-flash,informativeness,65,True,,669,55
bef9bf3d329cffa0,naive_tight,llama-3.3-70b,clarity,90,True,,593,73
bef9bf3d329cffa0,naive_tight,llama-3.3-70b,informativeness,90,True,,632,102
bef9bf3d329cffa0,naive_tight,gemini-2.0-flash,clarity,85,True,,584,54
bef9bf3d329cffa0,naive_tight,gemini-2.0-flash,informativeness,75,True,,620,70
bef9bf3d329cffa0,lit_informed_tight,llama-3.3-70b,clarity,90,True,,603,75
bef9bf3d329cffa0,lit_informed_tight,llama-3.3-70b,informativeness,80,True,,642,93
bef9bf3d329cffa0,lit_informed_tight,gemini-2.0-flash,clarity,85,True,,595,59
bef9bf3d329cffa0,lit_informed_tight,gemini-2.0-flash,informativeness,75,True,,631,67
525eb53e6a381dff,naive_tight,llama-3.3-70b,clarity,90,True,,613,82
525eb53e6a381dff,naive_tight,llama-3.3-70b,informativeness,65,True,,652,86
525eb53e6a381dff,naive_tight,gemini-2.0-flash,clarity,75,True,,607,58
525eb53e6a381dff,naive_tight,gemini-2.0-flash,informativeness,65,True,,643,74
525eb53e6a381dff,lit_informed_tight,llama-3.3-70b,clarity,90,True,,608,82
525eb53e6a381dff,lit_informed_tight,llama-3.3-70b,informativeness,68,True,,647,107
